                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2489,                 1.2476,                 9.1801,                 1.0471,                0.74108,                0.70081,                 0.7723,                0.40578,                0.74218,                0.70486,                0.76678,                0.37126,                 1.4183,                 1.5086,                  16.71,                 1.0482,             0.00066423,             0.00066423,             0.00066423
                      2,                 1.1149,                0.87785,                   2.48,                 1.0147,                0.72281,                 0.0984,                0.19367,                0.09802,                0.64585,                0.08764,                0.11875,                0.04748,                 1.6699,                  12.14,                 6.4699,                  1.231,              0.0013177,              0.0013177,              0.0013177
                      3,                 1.0495,                0.88618,                 1.1122,                0.99237,                0.84011,                0.69734,                0.79969,                0.48528,                0.85665,                0.71107,                0.81453,                0.49894,                 1.3596,                 1.1751,                 2.1272,                 1.0216,               0.001958,               0.001958,               0.001958
                      4,                 1.0077,                0.77634,                0.82099,                 0.9882,                0.71559,                0.57437,                0.70213,                0.42504,                0.71249,                0.56293,                0.66801,                0.37999,                 1.4466,                 2.4355,                 2.1612,                 1.0513,              0.0019406,              0.0019406,              0.0019406
                      5,                0.93415,                0.69546,                0.76027,                0.94598,                0.68813,                0.76659,                0.67903,                0.38644,                0.69362,                0.76201,                0.69109,                0.39269,                 1.4173,                 1.4498,                 4.5063,                 1.0745,              0.0019208,              0.0019208,              0.0019208
                      6,                0.84709,                0.62215,                0.62004,                0.92665,                0.74693,                0.67735,                0.68298,                0.39258,                0.72451,                0.65904,                0.67191,                0.33066,                 1.4374,                 1.5849,                 1.7112,                 1.0277,               0.001901,               0.001901,               0.001901
                      7,                0.83934,                0.57291,                0.57907,                0.92211,                0.69461,                0.65446,                  0.638,                0.40103,                0.69953,                0.65675,                 0.6364,                0.41301,                 1.2555,                 1.1341,                 3.1082,                0.98787,              0.0018812,              0.0018812,              0.0018812
                      8,                0.76646,                0.54442,                0.51925,                0.88679,                0.35316,                0.01602,                0.01671,                0.00609,                0.25187,                0.01144,                0.00839,                0.00167,                 2.0854,                 7.6158,                 7.2054,                 1.2584,              0.0018614,              0.0018614,              0.0018614
                      9,                0.72163,                0.51006,                 0.4931,                0.87939,                0.87876,                 0.8238,                 0.8766,                0.54161,                0.87838,                0.82635,                0.86798,                0.52001,                 1.2262,                 1.1061,                 2.3373,                0.98208,              0.0018416,              0.0018416,              0.0018416
                     10,                0.69432,                 0.4171,                0.47031,                0.87287,                0.84273,                0.94508,                0.92032,                0.61631,                0.86775,                0.90086,                0.91951,                0.59136,                0.99755,                0.88915,                 4.4217,                0.88162,              0.0018218,              0.0018218,              0.0018218
                     11,                0.66488,                0.38786,                0.45731,                0.85601,                0.81759,                 0.7254,                0.73155,                0.47003,                0.84207,                  0.746,                0.77139,                0.43269,                 1.1164,                0.96763,                 3.2631,                0.95811,               0.001802,               0.001802,               0.001802
                     12,                0.63112,                0.34924,                0.43985,                0.83923,                0.91029,                0.88235,                0.90129,                0.61465,                0.91501,                0.88693,                0.91607,                0.57291,                 1.0076,                0.90932,                 1.8479,                0.89531,              0.0017822,              0.0017822,              0.0017822
                     13,                0.60618,                0.33767,                0.42363,                0.83759,                0.83294,                0.93558,                0.92406,                0.61131,                0.82887,                  0.931,                0.92198,                0.58572,                 1.0188,                 0.8649,                 1.6368,                0.91217,              0.0017624,              0.0017624,              0.0017624
                     14,                0.55878,                0.29105,                0.40011,                0.82648,                0.92278,                0.96796,                0.96366,                0.65543,                0.91479,                0.95195,                0.95897,                0.62529,                0.94949,                0.81559,                 22.537,                0.87356,              0.0017426,              0.0017426,              0.0017426
                     15,                0.55839,                0.28162,                0.38699,                0.82417,                0.90596,                0.94795,                 0.9555,                 0.6667,                 0.9211,                0.94737,                0.96757,                0.61818,                0.96098,                 1.1551,                 1.2142,                0.87695,              0.0017228,              0.0017228,              0.0017228
                     16,                0.52402,                0.25377,                0.37997,                 0.8114,                0.87711,                0.94279,                0.95299,                 0.6695,                0.88056,                0.93822,                0.94419,                0.62613,                 0.9073,                0.99987,                  2.492,                0.86792,               0.001703,               0.001703,               0.001703
                     17,                0.49891,                 0.2259,                0.36709,                0.81027,                0.88487,                0.96339,                0.95218,                0.66366,                0.87857,                0.95652,                0.94718,                0.61468,                0.93251,                 1.0283,                 2.5215,                0.86978,              0.0016832,              0.0016832,              0.0016832
                     18,                0.50164,                0.19972,                0.35993,                0.81444,                0.90218,                0.90752,                0.95264,                0.66898,                0.91012,                0.91076,                0.95062,                0.61853,                0.93417,                0.98148,                0.80264,                0.87284,              0.0016634,              0.0016634,              0.0016634
                     19,                0.47619,                0.19849,                0.34903,                0.81945,                 0.8713,                0.96047,                0.93784,                0.65277,                0.87377,                0.95881,                0.95628,                0.61428,                0.91948,                 1.0689,                0.71652,                0.87478,              0.0016436,              0.0016436,              0.0016436
                     20,                0.45867,                0.18912,                0.33427,                0.79575,                0.90591,                0.95652,                0.95361,                0.65861,                0.90238,                0.95191,                0.95347,                 0.6244,                0.89108,                  1.118,                 1.2719,                0.86456,              0.0016238,              0.0016238,              0.0016238
                     21,                0.45972,                0.18311,                0.32653,                0.81606,                 0.8831,                0.93345,                 0.9188,                0.64646,                0.88715,                0.93548,                  0.935,                0.58046,                0.98161,                0.90234,                0.89376,                0.88647,               0.001604,               0.001604,               0.001604
                     22,                0.42616,                0.16031,                0.32553,                0.80895,                0.92083,                0.93159,                0.97105,                0.69089,                0.94843,                0.92677,                0.96651,                 0.6456,                0.90958,                 1.2992,                0.55403,                0.86407,              0.0015842,              0.0015842,              0.0015842
